x y
690.5123756708462 707.7703859728657
1196.344818730995 992.2791260172279
400.39574578798187 309.91906379465746
1198.4661797713177 1012.8977288979764
1198.1965175249024 1004.6678683457409
1390.2292915716357 1497.6657555547647
1216.3919423775362 1012.6062378109337
688.9098102497114 707.4898031587811
1195.6223856558947 993.5518459141946
1397.9359223781976 1501.7755599711202
1191.328572594205 993.388673790029
403.781862640869 299.6566518234637
698.3334802368445 693.7441536420528
400.6470461406447 296.1559780868272
1195.1076475113152 993.2928769723524
706.0586292224905 710.5946497112817
403.3899092175422 295.4188266689033
1410.9620821831597 1502.3117793409706
738.1582281493934 693.1065893868007
1202.5788172966904 1004.2807396032669
406.0349738369877 302.703219614851
1204.5943416788646 1000.209300339667
388.7603167045577 294.19327485951965
1391.7871861664119 1517.896441286937
1406.7920162911278 1494.520357965722
396.0401738513739 299.0781130065443
1202.3654069761603 982.3442575875232
1386.9451270485165 1484.997938620343
691.403819129146 696.3706203419248
1398.947855705363 1500.6450519604905
397.61389737858315 308.3099345818091
1396.7647514693306 1503.8135721437666
703.7603670673913 706.8928115657731
695.4793514258132 702.1040703100792
1398.0880606152691 1493.1376711373468
705.5355742576505 703.365622222653
408.237166145292 300.2164272778488
690.5142380908386 698.3689921830403
1394.4257271125005 1502.963522850458
387.23989321926416 297.7147797793795
